id;numero_ot;codigo_actividad;Prioridad;frecuencia_new;dia_semana;semana_mes;mes;dia_mes;actividad;duracion;observaciones;fecha_creacion;;;
1;28;AS01;Alta;Anual;2;3;7;0;Apretar zonas de transición de corriente atornilladas ;60;Electricista;2026-01-13 12:11:23;;;
2;28;AS02;Alta;Anual;2;1;5;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
3;28;AS03;Alta;Anual;1;4;6;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
4;28;AS04;Alta;Anual;5;4;2;0;Revisión de bomba de lubricación e hidráulico ;80;Electricista;2026-01-13 12:11:23;;;
5;28;AS05;Alta;Anual;5;1;9;0;Revisión de motores ;80;Electricista;2026-01-13 12:11:23;;;
6;28;AS06;Alta;Anual;4;1;9;0;Apretar zonas de transición de corriente atornilladas ;60;Electricista;2026-01-13 12:11:23;;;
7;28;AS07;Alta;Anual;3;2;11;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
8;28;AS08;Alta;Anual;6;2;10;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
9;28;AS09;Alta;Anual;1;4;11;0;Revisión de bomba de lubricación e hidráulico ;80;Electricista;2026-01-13 12:11:23;;;
10;28;AS10;Alta;Anual;6;1;11;0;Revisión de motores ;80;Electricista;2026-01-13 12:11:23;;;
11;28;AS11;Alta;Anual;2;3;6;0;Apretar zonas de transición de corriente atornilladas ;60;Electricista;2026-01-13 12:11:23;;;
12;28;AS12;Alta;Anual;4;4;1;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
13;28;AS13;Alta;Anual;2;4;11;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
14;28;AS14;Alta;Anual;1;3;12;0;Revisión de motores ;60;Electricista;2026-01-13 12:11:23;;;
15;115;AS15;Alta;Diaria;0;0;0;0;Limpieza de apilador de laminas ;2;Operador;2026-01-13 12:11:23;;;
16;115;AS16;Alta;Diaria;0;0;0;0;Limpieza de brazos de sujeción de láminas ;2;Operador;2026-01-13 12:11:23;;;
17;115;AS17;Alta;Diaria;0;0;0;0;Limpieza de apilador de laminas ;2;Operador;2026-01-13 12:11:23;;;
18;115;AS18;Alta;Diaria;0;0;0;0;Limpieza de brazos de sujeción de láminas ;2;Operador;2026-01-13 12:11:23;;;
19;115;AS19;Alta;Diaria;0;0;0;0;Limpieza de filos ;2;Operador;2026-01-13 12:11:23;;;
20;216;AS20;Alta;Semanal;4;0;0;0;Comprobación de fugas en el sistema neumático e hidráulico ;30;Mecánico;2026-01-13 12:11:23;;;
21;216;AS21;Alta;Quincenal;4;1;0;0;Engrasado de guía circular de la mesa de alineación ;20;Mecánico;2026-01-13 12:11:23;;;
22;216;AS22;Alta;Mensual;5;1;0;0;Lubricacion de transportador de entrada ;25;Mecánico;2026-01-13 12:11:23;;;
23;216;AS23;Alta;Quincenal;5;2;0;0;Revisión y comprobación de elevador de láminas ;20;Mecánico;2026-01-13 12:11:23;;;
24;216;AS24;Alta;Mensual;1;2;0;0;Verificación de nivel de aceite hidráulico ;10;Mecánico;2026-01-13 12:11:23;;;
25;216;AS25;Alta;Semanal;4;0;0;0;Comprobación de fugas en el sistema neumático e hidráulico ;30;Mecánico;2026-01-13 12:11:23;;;
26;216;AS26;Alta;Quincenal;5;1;0;0;Engrasado de guía circular de la mesa de alineación ;20;Mecánico;2026-01-13 12:11:23;;;
27;216;AS27;Alta;Mensual;5;1;0;0;Lubricacion de transportador de entrada ;25;Mecánico;2026-01-13 12:11:23;;;
28;216;AS28;Alta;Quincenal;2;1;0;0;Revisión y comprobación de elevador de láminas ;20;Mecánico;2026-01-13 12:11:23;;;
29;216;AS29;Alta;Mensual;6;2;0;0;Verificación de nivel de aceite hidráulico ;10;Mecánico;2026-01-13 12:11:23;;;
