id;numero_ot;codigo_actividad;Prioridad;frecuencia_new;dia_semana;semana_mes;mes;dia_mes;actividad;duracion;observaciones;fecha_creacion;;;
1163;26;AS306;Media;Semestral;2;3;4;0;Cambio de aceite de eje motriz ;240;Mecánico;2026-01-13 12:11:23;;;
1164;26;AS307;Alta;Semestral;1;1;6;0;Cambio de manguera de alta presión ;480;Mecánico;2026-01-13 12:11:23;;;
1165;70;AS308;Media;Semestral;6;3;6;0;Engrasado cilindro de inclinación frontal ;0;Mecánico;2026-01-13 12:11:23;;;
1166;70;AS309;Alta;Semestral;4;3;1;0;Revision de aceite de diferencial ;60;Mecánico;2026-01-13 12:11:23;;;
1167;70;AS311;Alta;Semestral;6;1;5;0;Cambio de aceite de eje motriz ;240;Mecánico;2026-01-13 12:11:23;;;
1168;70;AS312;Media;Semestral;3;3;4;0;Cambio de manguera de alta presión ;480;Mecánico;2026-01-13 12:11:23;;;
1169;70;AS313;Media;Semestral;4;3;3;0;Engrasado cilindro de inclinación frontal ;0;Mecánico;2026-01-13 12:11:23;;;
1170;70;AS316;Alta;Semestral;1;3;1;0;Revision de aceite de diferencial ;60;Mecánico;2026-01-13 12:11:23;;;
1171;27;AS318;Media;Quincenal;1;2;0;0;Cojinete de la rueda trasera ;30;Mecánico;2026-01-13 12:11:23;;;
1172;27;AS319;Alta;Quincenal;2;2;0;0;Engrasado bomba de transmisión ;3;Mecánico;2026-01-13 12:11:23;;;
1173;71;AS320;Media;Quincenal;3;2;0;0;Engrasado cadena de elevación ;30;Mecánico;2026-01-13 12:11:23;;;
1174;71;AS321;Alta;Quincenal;2;1;0;0;Engrasado cilindro de dirección  ;30;Mecánico;2026-01-13 12:11:23;;;
1175;71;AS323;Alta;Quincenal;5;1;0;0;Engrasado cojinete rueda delantera ;30;Mecánico;2026-01-13 12:11:23;;;
1176;71;AS324;Media;Quincenal;4;2;0;0;Engrasado cubierta del soporte del mástil ;10;Mecánico;2026-01-13 12:11:23;;;
1177;71;AS325;Media;Quincenal;6;1;0;0;Engrasado de puntos móviles freno de mano ;10;Mecánico;2026-01-13 12:11:23;;;
1178;71;AS328;Alta;Quincenal;4;1;0;0;Engrasado pin de pedal de freno ;30;Mecánico;2026-01-13 12:11:23;;;
1179;72;AS626;Alta;Quincenal;4;1;0;0;Engrasado timón sin ;30;Mecánico;2026-01-13 12:11:23;;;
1180;72;AS627;Alta;Quincenal;3;2;0;0;Revisión de aceite hidráulico ;3;Mecánico;2026-01-13 12:11:23;;;
1181;72;AS628;Alta;Quincenal;3;1;0;0;Revision de liquido de frenos ;30;Mecánico;2026-01-13 12:11:23;;;
