#,Número de artículo,Descripción del artículo,En stock,Último precio de compra,Ubicacion
1,M002150,Faja A - 125,0.0000,0.000000,
2,M002171,"Resorte a compresión Øe: 12.5mm, Øa: 3mm Paso: 4mm Distancia entre espiras=1mm Largo=110mm",0.0000,0.000000,
3,P000001,"TAPON LISO PVC 3/4"" MACHO",0.0000,0.000000,
4,P000002,PEGAMENTO WET&DRY COLOR AZUL USO PVC,0.0000,0.000000,
5,P000003,KIT PEGAMENTO EPOXI PEGATANKE TRANSP. 32 CC,0.0000,0.000000,
6,P000004,POXILINA 70 gms,0.0000,0.000000,
7,P000005,"BARRA ROSCADA 5/16"" X 36"" GALVANIZADA",0.0000,0.000000,
8,P000006,"TUERCA HEXAGONAL P/TORNILLO 5/16"" GALVANIZADA",0.0000,0.000000,
9,P000007,"ROLDANA P/TORNILLO 5/16"" GALVANIZADA",0.0000,0.000000,
10,P000008,Sikadur 32 Primer (1 Kg),1.0000,228.530000,
11,P000009,ANILLO DE CERA P/SANITARIO UNIVERSAL,0.0000,0.000000,
12,P000010,"UNION EMT LISO C/TORNILLO 1""",0.0000,0.000000,
13,PI23,Pintura blanco hueso RAL1013 para Máquinas,5.0000,235.710000,
14,R000001,usar con codigo nuevo,0.0000,0.000000,
15,R000002,Resorte Øa: 11; Øi: 47; Øe: 70; L: 440; ; paso 22 mm,1.0000,0.000000,E1.0
16,R000003,Resorte 60 x 75 x 400 x 9 x 19,1.0000,0.000000,E1.0
17,R000004,Starter Komatsu,1.0000,0.000000,E1.0
18,R000005,Starter modelo 169924,1.0000,0.000000,E1.0
19,R000006,Resorte 33 x 50 x 230 x 8 x 19,3.0000,0.000000,E1.0
20,R000007,Resorte 30 x 41 x 315 x 5 x 19,5.0000,0.000000,E1.0
21,R000008,Corredera automáticas para portones marca profesional modelo 370,2.0000,0.000000,E1.1
22,R000009,Corredera automáticas para portones marca profesional modelo IZ – I,2.0000,0.000000,E1.1
23,R000010,Camisas antiguas para chichera 08/10/2003,2.0000,0.000000,E1.2
24,R000011,Cilindro ADVU-16-15-A-P-A,0.0000,0.000000,E1.2
25,R000012,Cilindro CDM2B25-50A,12.0000,22.876667,E1.2
26,R000013,Cilindro CDM2E20-150,3.0000,0.000000,E1.2
27,R000014,Cilindro DPZ-16-40-P-A-KF,0.0000,0.000000,E1.2
28,R000015,Cilindro DPZ-25-50-P-A-KF,0.0000,0.000000,E1.2
29,R000016,Cilindro MCSM16150,2.0000,0.000000,E1.2
30,R000017,Cilindro SC80X75-S,1.0000,0.000000,E1.2
31,R000018,Cilindro SDA32X25,0.0000,0.000000,E1.2
32,R000019,Cilindro SDAS25X5,1.0000,0.000000,E1.2
33,R000020,Cilindro SDA20X10,1.0000,0.000000,E1.2
34,R000021,Cilindro MXS6-50AT,0.0000,0.000000,E1.2
35,R000022,Cilindro MAL32X150,0.0000,0.000000,E1.2
36,R000023,Cilindro C85N 20X10-B,2.0000,0.000000,E1.2
37,R000024,Drenador de agua,0.0000,0.000000,E1.2
38,R000025,Filtro con regulador de aire de 1/2” BFR4000D,8.0000,480.358000,E1.2
39,R000026,Filtro con regulador de aire de 1/4” BFR200D,6.0000,308.928000,E1.2
40,R000027,Filtro para aire conexión de 1/2” BF4000D,4.0000,0.000000,E1.2
41,R000028,Filtro para aire conexión de 1/4” AEF -2000-T,2.0000,0.000000,E1.2
42,R000029,Lubricador conexión de 1/2” BL4000,5.0000,383.930000,E1.2
43,R000030,Lubricador conexión de 3/8”,0.0000,0.000000,E1.2
44,R000031,Lubricador conexión de 1/4” BL2000,4.0000,312.500000,E1.2
45,R000032,"Manómetro 0 – 4 BAR, Caratula de 40 mm, conexión posterior de 1/8”",2.0000,0.000000,E1.2
46,R000033,"Manómetro 0 a 16 BAR, caratula 2”, conexión de 1/4” posterior",2.0000,0.000000,E1.2
47,R000034,"Manómetro 0 a 20 PSI, caratula 2 1/2”, conexión de 1/4” posterior",10.0000,0.000000,E1.2
48,R000035,Regulador de aire de 1” JAR-5000-10,3.0000,0.000000,E1.2
49,R000036,Regulador de aire de 1/2” BER-4000-T,3.0000,355.360000,E1.2
50,R000037,Regulador de aire de 1/4” AER20005-T / BR20002T,3.0000,223.213333,E1.2
51,R000038,Regulador de aire de 1/8” AER2000,2.0000,0.000000,E1.2
52,R000039,Regulador de caudal 1/8”. 0 -30 L/Min,1.0000,0.000000,E1.2
53,R000040,Rotula 1010/M10x1.25,5.0000,0.000000,E1.2
54,R000041,Trampa de agua de cubeta invertida,14.0000,65.830000,E1.2
55,R000042,Unidad de mantenimiento de aire de 1/2” BFC4000D5-T,10.0000,606.250000,E1.2
56,R000043,Unidad de mantenimiento de aire de 1/4” BEFC2000D5-T,15.0000,401.786000,E1.2
57,R000044,Abrazadera de cincho de 19/44 mm,14.0000,11.905000,E1.3 - 01
58,R000045,Abrazadera de cincho de 40/64 mm,13.0000,12.500000,E1.3 - 01
59,R000046,Abrazadera de cincho de 29/76 mm,10.0000,0.000000,E1.3 - 01
60,R000047,Abrazadera de cincho de 17/32 mm,19.0000,3.348000,E1.3 - 01
61,R000048,"Abrazadera de cincho para manguera de 1""  (18/38 mm)",14.0000,11.905000,E1.3 - 01
62,R000049,Abrazadera de cincho de 25/51 mm,29.0000,5.446400,E1.3 - 01
63,R000050,Abrazadera de cincho de 10/25 mm,40.0000,1.785500,E1.3 - 01
64,R000051,"Abrazadera de cincho para manguera de 1/2 "" (7/13 mm)",42.0000,1.339500,E1.3 - 01
65,R000052,Abrazadera de cincho de 1/4”,37.0000,1.339500,E1.3 - 01
66,R000053,Abrazadera de cincho de 10-20”,0.0000,0.000000,E1.3 - 01
67,R000054,Anillo o cono de compresión para tubo de 1/4”,5.0000,0.000000,E1.3 - 02
68,R000055,Anillo o cono de compresión para tubo de 1/8”,80.0000,0.000000,E1.3 - 02
69,R000056,Anillo o cono de compresión para tubo de 3/16”,25.0000,0.000000,E1.3 - 02
70,R000057,Anillo o cono de compresión para tubo de 3/8”,5.0000,0.000000,E1.3 - 02
71,R000058,Anillo o cono de compresión para tubo de 4 mm,20.0000,0.000000,E1.3 - 02
72,R000059,Anillo o cono de compresión para tubo de 8 mm,11.0000,0.000000,E1.3 - 02
73,R000060,Boquilla para pistola de aire,3.0000,0.000000,E1.3 - 02
74,R000061,Boquilla recta de 1/8”,3.0000,0.000000,E1.3 - 02
75,R000062,Centro para manguera de 2 mm,25.0000,0.000000,E1.3 - 02
76,R000063,Centro para manguera de 3 mm,20.0000,0.000000,E1.3 - 02
77,R000064,Centro para manguera de 4 mm,6.0000,0.000000,E1.3 - 02
78,R000065,Centro para manguera de 6 mm,6.0000,0.000000,E1.3 - 02
79,R000066,Codo macho a 90º de bronce de 1/8” para tubo de 3/8”,0.0000,0.000000,E1.3 - 02
80,R000067,Conector rápido para manguera hembra,1.0000,0.000000,E1.3 - 02
81,R000068,Grasera 90º de 1/4”,1.0000,0.000000,E1.3 - 02
82,R000069,Grasera 90º de 3/32”,0.0000,0.000000,E1.3 - 02
83,R000070,Grasera recta de 1/8”,15.0000,0.000000,E1.3 - 02
84,R000071,Grasera 90º de 1/8”,15.0000,6.874667,E1.3 - 02
85,R000072,Grasera recta de 1/4”,5.0000,0.000000,E1.3 - 02
86,R000073,Grasera recta de 1/2”,2.0000,0.000000,E1.3 - 02
87,R000074,Grasera 90º de 1/2”,2.0000,0.000000,E1.3 - 02
